trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2106,False,"{'a': 0.4, 'e': 0.021118961744227106}",20,10,15.850170700529821,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2107,False,"{'a': 0.4, 'e': 0.021080294967231815}",20,14,12.47825925566805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2108,False,"{'a': 0.4, 'e': 0.02104169898536656}",20,13,12.368742236014315,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2109,False,"{'a': 0.4, 'e': 0.021003173669012335}",25,16,14.87970979793524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2110,False,"{'a': 0.4, 'e': 0.0209647188887874}",25,3,35.38754033646296,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2111,False,"{'a': 0.4, 'e': 0.020926334515546933}",20,12,16.53079943010038,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2112,False,"{'a': 0.4, 'e': 0.020888020420382524}",30,5,44.36164125065894,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
2113,False,"{'a': 0.4, 'e': 0.02084977647462185}",25,5,40.7039103415177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2114,False,"{'a': 0.4, 'e': 0.02081160254982812}",20,9,23.373443849135622,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2115,False,"{'a': 0.4, 'e': 0.02077349851779971}",25,15,7.5603486712122585,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2116,False,"{'a': 0.4, 'e': 0.020735464250569713}",20,14,10.651865183514573,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2117,False,"{'a': 0.4, 'e': 0.020697499620405554}",25,0,41.48795883564854,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2118,False,"{'a': 0.4, 'e': 0.02065960449980849}",25,15,17.567747205844686,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2119,False,"{'a': 0.4, 'e': 0.02062177876151322}",20,6,25.463000510868568,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2120,False,"{'a': 0.4, 'e': 0.020584022278487445}",30,13,33.544149717544606,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
